1;moto electrica ideal para uso diario;48000;moto electrica 1.jpg
2;moto electrica con modo deportivo;48000;moto electrica 2.jpg
3;moto electrica ideal para uso diario;50000;moto electrica 3.jpg
4;moto electrica ideal para ir en carretera;80000;moto electrica 4.jpg
5;moto electrica con modo super deportivo (para profecionales);120000;moto electrica 5.jpg
6;moto electrica ideal para hacer cross;80000;moto electrica 6.jpg
7;moto electrica ideal para gente mayor (muy duradera) ;35000;moto electrica 7.jpg
8;moto electrica perfecta para losque viejan y les gusta la velocidad;150000;moto electrica 8.jpg
9;moto electrica ideal para estudiantes (barata, carga duradera y de baja velocidad);35000;moto electrica 9.jpg
10;moto electrica ideal para repartidores;40000;moto electrica 10.jpg
